sample_name,sample_name2,horizon,water,number_floods
FWA0.5,FWA1,A,FW,1
FWA1,FWA2,A,FW,2
FWA2,FWA4,A,FW,4
FWA3,FWA6,A,FW,6
FWB0.5,FWB1,B,FW,1
FWB1,FWB2,B,FW,2
FWB2,FWB4,B,FW,4
FWB3,FWB6,B,FW,6
RRA0.5,SWA1,A,SW,1
RRA1,SWA2,A,SW,2
RRA2,SWA4,A,SW,4
RRA3,SWA6,A,SW,6
RRB0.5,SWB1,B,SW,1
RRB1,SWB2,B,SW,2
RRB2,SWB4,B,SW,4
RRB3,SWB6,B,SW,6
TA,,A,control,0
TA2,,A,control,0
TA3,,A,control,0
TB ,,B,control,0
TB2,,B,control,0
TB3,,B,control,0
