days_elapsed,DO_mgL,sample
0.00064559,7.704,1fld_A_SW
0.007590208,7.997,1fld_A_SW
0.01453478,5.639,1fld_A_SW
0.021479456,0.307,1fld_A_SW
0.02842397,-0.034,1fld_A_SW
0.035368542,-0.035,1fld_A_SW
0.04231316,-0.034,1fld_A_SW
0.049257662,-0.032,1fld_A_SW
0.05620228,-0.033,1fld_A_SW
0.063146887,-0.035,1fld_A_SW
0.070091435,-0.034,1fld_A_SW
0.077035926,-0.034,1fld_A_SW
0.083980475,-0.034,1fld_A_SW
0.090925012,-0.035,1fld_A_SW
0.097869537,-0.035,1fld_A_SW
0.104814155,-0.034,1fld_A_SW
0.111758715,-0.037,1fld_A_SW
0.118703194,-0.037,1fld_A_SW
0.12564772,-0.036,1fld_A_SW
0.132592222,-0.038,1fld_A_SW
0.139536736,-0.035,1fld_A_SW
0.14648125,-0.037,1fld_A_SW
0.153425764,-0.037,1fld_A_SW
0.160370266,-0.037,1fld_A_SW
0.167314757,-0.037,1fld_A_SW
0.174259259,-0.037,1fld_A_SW
0.181203762,-0.037,1fld_A_SW
0.188148299,-0.037,1fld_A_SW
0.195092824,-0.038,1fld_A_SW
0.202037257,-0.037,1fld_A_SW
0.20898184,-0.037,1fld_A_SW
0.215926238,-0.038,1fld_A_SW
0.222870856,-0.037,1fld_A_SW
0.229815255,-0.038,1fld_A_SW
0.236759757,-0.036,1fld_A_SW
0.243704294,-0.036,1fld_A_SW
0.250648889,-0.038,1fld_A_SW
0.257593368,-0.038,1fld_A_SW
0.264537778,-0.038,1fld_A_SW
0.271482303,-0.038,1fld_A_SW
0.278426759,-0.038,1fld_A_SW
0.285371238,-0.037,1fld_A_SW
0.292315741,-0.039,1fld_A_SW
0.299260255,-0.037,1fld_A_SW
0.306204711,-0.037,1fld_A_SW
0.313149178,-0.037,1fld_A_SW
0.320093588,-0.036,1fld_A_SW
0.327038056,-0.037,1fld_A_SW
0.333982558,-0.037,1fld_A_SW
0.340926991,-0.037,1fld_A_SW
0.347871435,-0.038,1fld_A_SW
0.354815972,-0.037,1fld_A_SW
0.361760336,-0.037,1fld_A_SW
0.368704815,-0.038,1fld_A_SW
0.375649248,-0.037,1fld_A_SW
0.382593738,-0.038,1fld_A_SW
0.389538218,-0.038,1fld_A_SW
0.39648265,-0.039,1fld_A_SW
0.403427164,-0.038,1fld_A_SW
0.410371597,-0.037,1fld_A_SW
0.417316111,-0.037,1fld_A_SW
0.424260579,-0.038,1fld_A_SW
0.431205,-0.037,1fld_A_SW
0.438149468,-0.037,1fld_A_SW
0.445093947,-0.037,1fld_A_SW
0.452038438,-0.037,1fld_A_SW
0.458982894,-0.037,1fld_A_SW
0.465927431,-0.037,1fld_A_SW
0.47287184,-0.038,1fld_A_SW
0.479816308,-0.038,1fld_A_SW
0.486760856,-0.037,1fld_A_SW
0.493705266,-0.037,1fld_A_SW
0.500649757,-0.038,1fld_A_SW
0.507594225,-0.037,1fld_A_SW
